State,District,Level,Name,Total Population,Classification,lower
01,001,DISTRICT,Kupwara,870354,Urban,kupwara
01,002,DISTRICT,Badgam,753745,Urban,badgam
01,003,DISTRICT,Leh(Ladakh),133487,Urban,leh(ladakh)
01,004,DISTRICT,Kargil,140802,Urban,kargil
01,005,DISTRICT,Punch,476835,Urban,punch
01,006,DISTRICT,Rajouri,642415,Urban,rajouri
01,007,DISTRICT,Kathua,616435,Urban,kathua
01,008,DISTRICT,Baramula,1008039,Metropolitan,baramula
01,009,DISTRICT,Bandipore,392232,Urban,new delhi
01,010,DISTRICT,Srinagar,1236829,Metropolitan,dilli
01,011,DISTRICT,Ganderbal,297446,Urban,ganderbal
01,012,DISTRICT,Pulwama,560440,Urban,pulwama
01,013,DISTRICT,Shupiyan,266215,Urban,shupiyan
01,014,DISTRICT,Anantnag,1078692,Metropolitan,anantnag
01,015,DISTRICT,Kulgam,424483,Urban,kulgam
01,016,DISTRICT,Doda,409936,Urban,doda
01,017,DISTRICT,Ramban,283713,Urban,ramban
01,018,DISTRICT,Kishtwar,230696,Urban,kishtwar
01,019,DISTRICT,Udhampur,554985,Urban,udhampur
01,020,DISTRICT,Reasi,314667,Urban,reasi
01,021,DISTRICT,Jammu,1529958,Metropolitan,jammu
01,022,DISTRICT,Samba,318898,Urban,samba
02,023,DISTRICT,Chamba,519080,Urban,chamba
02,024,DISTRICT,Kangra,1510075,Metropolitan,kangra
02,025,DISTRICT,Lahul & Spiti,31564,Semi-Urban,lahul & spiti
02,026,DISTRICT,Kullu,437903,Urban,kullu
02,027,DISTRICT,Mandi,999777,Urban,mandi
02,028,DISTRICT,Hamirpur,454768,Urban,hamirpur
02,029,DISTRICT,Una,521173,Urban,una
02,030,DISTRICT,Bilaspur,381956,Urban,bilaspur
02,031,DISTRICT,Solan,580320,Urban,solan
02,032,DISTRICT,Sirmaur,529855,Urban,sirmaur
02,033,DISTRICT,Shimla,814010,Urban,shimla
02,034,DISTRICT,Kinnaur,84121,Semi-Urban,kinnaur
03,035,DISTRICT,Gurdaspur,2298323,Metropolitan,gurdaspur
03,036,DISTRICT,Kapurthala ,815168,Urban,kapurthala 
03,037,DISTRICT,Jalandhar,2193590,Metropolitan,jalandhar
03,038,DISTRICT,Hoshiarpur,1586625,Metropolitan,hoshiarpur
03,039,DISTRICT,Shahid Bhagat Singh Nagar ,612310,Urban,shahid bhagat singh nagar 
03,040,DISTRICT,Fatehgarh Sahib,600163,Urban,fatehgarh sahib
03,041,DISTRICT,Ludhiana,3498739,Metropolitan,ludhiana
03,042,DISTRICT,Moga,995746,Urban,moga
03,043,DISTRICT,Firozpur,2029074,Metropolitan,firozpur
03,044,DISTRICT,Muktsar,901896,Urban,muktsar
03,045,DISTRICT,Faridkot,617508,Urban,faridkot
03,046,DISTRICT,Bathinda,1388525,Metropolitan,bathinda
03,047,DISTRICT,Mansa,769751,Urban,mansa
03,048,DISTRICT,Patiala,1895686,Metropolitan,patiala
03,049,DISTRICT,Amritsar ,2490656,Metropolitan,amritsar 
03,050,DISTRICT,Tarn Taran,1119627,Metropolitan,tarn taran
03,051,DISTRICT,Rupnagar,684627,Urban,rupnagar
03,052,DISTRICT,Sahibzada Ajit Singh Nagar,994628,Urban,sahibzada ajit singh nagar
03,053,DISTRICT,Sangrur,1655169,Metropolitan,sangrur
03,054,DISTRICT,Barnala,595527,Urban,barnala
04,055,DISTRICT,Chandigarh,1055450,Metropolitan,chandigarh
05,056,DISTRICT,Uttarkashi,330086,Urban,uttarkashi
05,057,DISTRICT,Chamoli,391605,Urban,chamoli
05,058,DISTRICT,Rudraprayag,242285,Urban,rudraprayag
05,059,DISTRICT,Tehri Garhwal,618931,Urban,tehri garhwal
05,060,DISTRICT,Dehradun,1696694,Metropolitan,dehradun
05,061,DISTRICT,Garhwal,687271,Urban,garhwal
05,062,DISTRICT,Pithoragarh,483439,Urban,pithoragarh
05,063,DISTRICT,Bageshwar,259898,Urban,bageshwar
05,064,DISTRICT,"Almora
",622506,Urban,"almora
"
05,065,DISTRICT,Champawat,259648,Urban,champawat
05,066,DISTRICT,Nainital,954605,Urban,nainital
05,067,DISTRICT,Udham Singh Nagar,1648902,Metropolitan,udham singh nagar
05,068,DISTRICT,Hardwar,1890422,Metropolitan,hardwar
06,069,DISTRICT,Panchkula,561293,Urban,panchkula
06,070,DISTRICT,Ambala,1128350,Metropolitan,ambala
06,071,DISTRICT,Yamunanagar,1214205,Metropolitan,yamunanagar
06,072,DISTRICT,Kurukshetra,964655,Urban,kurukshetra
06,073,DISTRICT,Kaithal,1074304,Metropolitan,kaithal
06,074,DISTRICT,Karnal,1505324,Metropolitan,karnal
06,075,DISTRICT,Panipat,1205437,Metropolitan,panipat
06,076,DISTRICT,Sonipat,1450001,Metropolitan,sonipat
06,077,DISTRICT,Jind,1334152,Metropolitan,jind
06,078,DISTRICT,Fatehabad,942011,Urban,fatehabad
06,079,DISTRICT,Sirsa,1295189,Metropolitan,sirsa
06,080,DISTRICT,Hisar,1743931,Metropolitan,hisar
06,081,DISTRICT,Bhiwani,1634445,Metropolitan,bhiwani
06,082,DISTRICT,Rohtak,1061204,Metropolitan,rohtak
06,083,DISTRICT,Jhajjar,958405,Urban,jhajjar
06,084,DISTRICT,Mahendragarh,922088,Urban,mahendragarh
06,085,DISTRICT,Rewari,900332,Urban,rewari
06,086,DISTRICT,Gurgaon,1514432,Metropolitan,gurgaon
06,087,DISTRICT,Mewat ,1089263,Metropolitan,mewat 
06,088,DISTRICT,Faridabad,1809733,Metropolitan,faridabad
06,089,DISTRICT,Palwal ,1042708,Metropolitan,palwal 
07,090,DISTRICT,North West,3656539,Metropolitan,north west
07,091,DISTRICT,North,887978,Urban,north
07,092,DISTRICT,North East,2241624,Metropolitan,north east
07,093,DISTRICT,East,1709346,Metropolitan,east
07,094,DISTRICT,New Delhi,142004,Urban,new delhi
07,095,DISTRICT,Central,582320,Urban,central
07,096,DISTRICT,West,2543243,Metropolitan,west
07,097,DISTRICT,South West,2292958,Metropolitan,south west
07,098,DISTRICT,South,2731929,Metropolitan,south
08,099,DISTRICT,Ganganagar ,1969168,Metropolitan,ganganagar 
08,100,DISTRICT,Hanumangarh,1774692,Metropolitan,hanumangarh
08,101,DISTRICT,Bikaner,2363937,Metropolitan,bikaner
08,102,DISTRICT,Churu,2039547,Metropolitan,churu
08,103,DISTRICT,Jhunjhunun,2137045,Metropolitan,jhunjhunun
08,104,DISTRICT,Alwar,3674179,Metropolitan,alwar
08,105,DISTRICT,Bharatpur,2548462,Metropolitan,bharatpur
08,106,DISTRICT,Dhaulpur,1206516,Metropolitan,dhaulpur
08,107,DISTRICT,Karauli,1458248,Metropolitan,karauli
08,108,DISTRICT,Sawai Madhopur,1335551,Metropolitan,sawai madhopur
08,109,DISTRICT,Dausa,1634409,Metropolitan,dausa
08,110,DISTRICT,Jaipur,6626178,Metropolitan,jaipur
08,111,DISTRICT,Sikar,2677333,Metropolitan,sikar
08,112,DISTRICT,Nagaur,3307743,Metropolitan,nagaur
08,113,DISTRICT,Jodhpur,3687165,Metropolitan,jodhpur
08,114,DISTRICT,Jaisalmer,669919,Urban,jaisalmer
08,115,DISTRICT,Barmer,2603751,Metropolitan,barmer
08,116,DISTRICT,Jalor,1828730,Metropolitan,jalor
08,117,DISTRICT,Sirohi,1036346,Metropolitan,sirohi
08,118,DISTRICT,Pali,2037573,Metropolitan,pali
08,119,DISTRICT,Ajmer,2583052,Metropolitan,ajmer
08,120,DISTRICT,Tonk,1421326,Metropolitan,tonk
08,121,DISTRICT,Bundi,1110906,Metropolitan,bundi
08,122,DISTRICT,Bhilwara,2408523,Metropolitan,bhilwara
08,123,DISTRICT,Rajsamand,1156597,Metropolitan,rajsamand
08,124,DISTRICT,Dungarpur,1388552,Metropolitan,dungarpur
08,125,DISTRICT,Banswara,1797485,Metropolitan,banswara
08,126,DISTRICT,Chittaurgarh,1544338,Metropolitan,chittaurgarh
08,127,DISTRICT,Kota,1951014,Metropolitan,kota
08,128,DISTRICT,Baran,1222755,Metropolitan,baran
08,129,DISTRICT,Jhalawar,1411129,Metropolitan,jhalawar
08,130,DISTRICT,Udaipur,3068420,Metropolitan,udaipur
08,131,DISTRICT,Pratapgarh,867848,Urban,pratapgarh
09,132,DISTRICT,Saharanpur,3466382,Metropolitan,saharanpur
09,133,DISTRICT,Muzaffarnagar,4143512,Metropolitan,muzaffarnagar
09,134,DISTRICT,Bijnor,3682713,Metropolitan,bijnor
09,135,DISTRICT,Moradabad,4772006,Metropolitan,moradabad
09,136,DISTRICT,Rampur,2335819,Metropolitan,rampur
09,137,DISTRICT,Jyotiba Phule Nagar,1840221,Metropolitan,jyotiba phule nagar
09,138,DISTRICT,Meerut,3443689,Metropolitan,meerut
09,139,DISTRICT,Baghpat,1303048,Metropolitan,baghpat
09,140,DISTRICT,Ghaziabad,4681645,Metropolitan,ghaziabad
09,141,DISTRICT,Gautam Buddha Nagar,1648115,Metropolitan,gautam buddha nagar
09,142,DISTRICT,Bulandshahr ,3499171,Metropolitan,bulandshahr 
09,143,DISTRICT,Aligarh,3673889,Metropolitan,aligarh
09,144,DISTRICT,Mahamaya Nagar,1564708,Metropolitan,mahamaya nagar
09,145,DISTRICT,Mathura,2547184,Metropolitan,mathura
09,146,DISTRICT,Agra,4418797,Metropolitan,agra
09,147,DISTRICT,Firozabad,2498156,Metropolitan,firozabad
09,148,DISTRICT,Mainpuri,1868529,Metropolitan,mainpuri
09,149,DISTRICT,Budaun,3681896,Metropolitan,budaun
09,150,DISTRICT,Bareilly,4448359,Metropolitan,bareilly
